grade,question,golden
1,问：学校原有25瓶胶水，又买回9瓶，现在有多少瓶？答：现在有25 + 9 = 34瓶胶水。问：学校原有30瓶胶水，又买回10瓶，现在有多少瓶？,40
1,问：琪琪买零食花了17元，妹妹花了7元，琪琪比妹妹多花了几元？答：琪琪比妹妹多花了17元 - 7元 = 10元。问：琪琪买零食花了30元，妹妹花了7元，琪琪比妹妹多花了几元？,23
1,问：公共汽车上有7个人，第一站上来6个人，第二站上来3个人，现在车上有几个人？答：车上现在有16个人。这是因为原来车上有7个人，第一站上来了6个人，加起来是13个人。第二站又上来了3个人，所以总共是16个人。问：公共汽车上有10个人，第一站上来6个人，第二站上来3个人，现在车上有几个人？,19
1,问：小明家住五楼，每上一层楼要用1分钟，小明从一楼走到五楼，要走多少分钟？答：小明要走5 * 1 = 5分钟。问：小明家住八楼，每上一层楼要用1分钟，小明从一楼走到八楼，要走多少分钟？,8
1,问：娜娜有23个糖果，婷婷有30个，两人一共有多少个糖果？两个人一共有23 + 30 = 53个水果。问：娜娜有32个糖果，婷婷有30个，两人一共有多少个糖果？,62
1,问：学校里有58盆黄菊花，50盆红菊花，黄菊花比红菊花多多少盆？答：黄菊花比红菊花多58-50盆。问：学校里有88盆黄菊花，40盆红菊花，黄菊花比红菊花多多少盆？,48
1,问：丽丽借给3位好朋友各4本故事书，她一共借出了多少本故事书？答：丽丽一共借出了12本故事书。因为3位好朋友各借4本，所以3乘以4等于12。问：丽丽借给5位好朋友各5本故事书，她一共借出了多少本故事书？,25
1,问：一盘花生有48颗，梅梅拿出几颗后，还剩下40颗？答：梅梅拿出48 - 40 = 8颗。问：一盘花生有52颗，梅梅拿出几颗后，还剩下40颗,12
1,问：喜羊羊和灰太狼比赛骑木马，喜羊羊骑了50下，灰太狼骑了40下。喜羊羊比灰太狼多骑了多少下？答：喜羊羊比灰太狼多骑了50 - 40 = 10下。问：喜羊羊和灰太狼比赛骑木马，喜羊羊骑了60下，灰太狼骑了20下。喜羊羊比灰太狼多骑了多少下？,40
1,问：妈妈买了一些梨，小刚吃了3个，妈妈吃了2个，小刚和妈妈一共吃了多少个？答：小刚和妈妈一共吃了3 + 2 = 5个。问：妈妈买了一些梨，小刚吃了4个，妈妈吃了3个，小刚和妈妈一共吃了多少个？,7
1,问：小苹种7盆红花，又种了同样多的黄花，两种花共多少盆？答：两种花一共7 * 2 = 14盆。问：小苹种9盆红花，又种了同样多的黄花，两种花共多少盆？,18
1,问：光明小区棋牌院有69副象棋，60副跳棋，象棋比跳棋多多少副？答：象棋比跳棋多69 - 9 - 60副。问：光明小区棋牌院有79副象棋，10副跳棋，象棋比跳棋多多少副？,69
1,问：有67颗五角星，第一大组发了14颗，第二大组发了6颗，还剩多少颗五角星？答：67颗五角星减去第一大组的14颗和第二大组的6颗，还剩下67-14-6=47颗五角星。问：有70颗五角星，第一大组发了24颗，第二大组发了6颗，还剩多少颗五角星？,40
1,问：妈妈买来18个鸡蛋，吃了5个后，还剩多少个鸡蛋？答：还剩18 - 5 = 13个鸡蛋。问：妈妈买来28个鸡蛋，吃了10个后，还剩多少个鸡蛋？,18
1,问：小明有9只纸飞机，比小军多3只。小军有多少只纸飞机？答：小军有9 - 3 = 6只。问：小明有12只纸飞机，比小军多3只。小军有多少只纸飞机？,9
1,问：汽车站有40辆汽车，第一次开走20辆，第二次开走10辆，还剩多少辆？答：还剩40 - 20 - 10 = 10辆。问：汽车站有50辆汽车，第一次开走10辆，第二次开走20辆，还剩多少辆？,20
1,问：学雷锋小组上午修了20把椅子，下午修了10把，一天总共修了多少把椅子？答：一天总共修了20 + 10 = 30把椅子。 问：学雷锋小组上午修了40把椅子，下午修了20把，一天总共修了多少把椅子,60
1,问：老师买回14盒白粉笔和2盒彩粉笔，上课用了1盒粉笔，还剩几盒粉笔？答：老师开始有14盒白粉笔和2盒彩粉笔，总共是16盒。上课用了1盒后，还剩下16盒 - 1盒 = 15盒粉笔。问：老师买回16盒白粉笔和2盒彩粉笔，上课用了1盒粉笔，还剩几盒粉笔？,17
1,问：同学们要做29个灯笼，已经做好了9个，还要做多少个？答：还需要29 - 9 = 20个。问：同学们要做39个灯笼，已经做好了10个，还要做多少个？,29
1,问：森林运动会上，小狐狸比小狗多跑9米，小兔比小狗多跑4米，小狐狸比小兔多跑多少米？答：小狐狸比小兔多跑9 - 4 = 5米。问：森林运动会上，小狐狸比小狗多跑12米，小兔比小狗多跑4米，小狐狸比小兔多跑多少米？,8
1,问：小灰兔拔了9个萝卜，小白兔拔的是小灰兔的2倍。它们一共拔了多少个萝卜？答：小白兔拔的萝卜是小灰兔的2倍，所以小白兔拔了9个*2=18个萝卜。小灰兔和小白兔一共拔了9个+18个=27个萝卜。问：小灰兔拔了10个萝卜，小白兔拔的是小灰兔的2倍。它们一共拔了多少个萝卜？,30
1,问：树上有21只小松鼠，树下有8只，一共有多少只小松鼠？答：一共有21 + 8 = 29只。问：树上有24只小松鼠，树下有8只，一共有多少只小松鼠？,32
1,问：小红已经写了8个字，还差5个字没写，小红要写多少个字？答：小红要写8 + 5 = 13个字。问：小红已经写了9个字，还差2个字没写，小红要写多少个字？,11
1,问：杉杉捡了20个贝壳，还要捡39个，一共要捡多少个贝壳？答：一共要捡20 + 39 = 59个贝壳。问：杉杉捡了30个贝壳，还要捡49个，一共要捡多少个贝壳？,79
1,问：学校体育室里有23个足球，被人借走了10个，还有多少个？答：还有23 - 10 = 13个。问：学校体育室里有25个足球，被人借走了7个，还有多少个？,18
1,问：小兔拔了26个萝卜，比小猪少6个，小猪拔了多少个？答：小猪拔了26 + 6 = 32个。问：小兔拔了20个萝卜，比小猪少6个，小猪拔了多少个？,26
1,问：商店里有16个蛋糕，卖出去5个，还剩多少个？答：还剩16 - 5 = 11个。问：商店里有25个蛋糕，卖出去9个，还剩多少个？,16
1,问：一艘船可以坐50人，船上已经有30人，还可以坐几人？答：还可以坐50 - 30 = 20个人。问：一艘船可以坐35人，船上已经有20人，还可以坐几人？,15
1,问：马场上有20匹马，又来了21匹，现在马场上有多少匹？答：现在马场有20 + 21 = 41匹马。问：马场上有30匹马，又来了31匹，现在马场上有多少匹？,61
1,问：节日里，欢欢买了7个气球，回家路上爆了3个，他带回家几个气球？答：她带回家了7 - 3 = 4个。问：节日里，欢欢买了8个气球，回家路上爆了5个，他带回家几个气球？,3
1,问：乐乐有19枚邮票，文文有8枚邮票，一共有多少枚邮票？答：一共有19 + 8 = 27 枚邮票。问：乐乐有22枚邮票，文文有8枚邮票，一共有多少枚邮票？,30
1,问：农民伯伯上午摘了16筐番茄，运送到食堂3筐后，下午又摘了6筐。现在农民伯伯需要把多少筐番茄运到市场上卖？答：农民伯伯上午摘了16筐番茄，运送到食堂后剩下了16-3=13筐。下午又摘了6筐，所以一共有13+6=19筐番茄。所以，农民伯伯需要把19筐番茄运到市场上卖。问：农民伯伯上午摘了20筐番茄，运送到食堂3筐后，下午又摘了8筐。现在农民伯伯需要把多少筐番茄运到市场上卖？,25
1,问：亮亮有15张画片，送给弟弟5张，还剩下几张画片？答：还剩下15 - 5 = 10张画片。问：亮亮有22张画片，送给弟弟5张，还剩下几张画片？,27
1,问：电饭锅卖了8个，还剩下7个，原来一共有多少个？答：原来一共有8 + 7 = 15个。问：电饭锅卖了9个，还剩下6个，原来一共有多少个？,15
1,问：从前面数，贝贝排9，从后面数他排12，这一排一共有几人？答：这一排共有20人。因为从前面数，贝贝是第9个人，再加上他后面的11个人（因为从后面数，贝贝是第12个人，所以他后面应该有11个人），所以一共有9+11=20个人。问：从前面数，贝贝排10，从后面数他排11，这一排一共有几人？,20
1,问：阳阳有103张1元的纸币，他最多能换几张50元的纸币？答：他最多能换102 / 50 = 2 余 3。他最多能换2张。问：阳阳有105张1元的纸币，他最多能换几张50元的纸币？,2
1,问：活动课上打乒乓球的有8人，做操的有24人。打乒乓球球和做操的同学共有多少人？答：打乒乓球球和做操的同学共有8 + 24 = 30个人。问：活动课上打乒乓球的有9人，做操的有22人。打乒乓球球和做操的同学共有多少人？,31
1,问：苗苗家里有50个苹果，有30个梨，有20个桃。桃比苹果少多少个？答：桃比苹果少50 - 20 = 30个。问：苗苗家里有60个苹果，有20个梨，有10个桃。桃比苹果少多少个？,50
2,问：张师傅上午修了18把椅子，下午修了29把椅子，一天共修了多少把椅子？答：一天共修了29 + 18 = 47把椅子。问：张师傅上午修了28把椅子，下午修了39把椅子，一天共修了多少把椅子？,67
2,问：小小图书室有52本故事书，科技书比故事书多6本，科技书有多少本？答：科技书有52 + 6 = 58本。问：小小图书室有35本故事书，科技书比故事书多6本，科技书有多少本？,41
2,问：李师傅用一根长52米的绳子做跳绳，每根跳绳长6米，最多可以做多少根跳绳？答：52 除以 6 = 8 余 4。所以最多可以做8根跳绳。问：李师傅用一根长64米的绳子做跳绳，每根跳绳长8米，最多可以做多少根跳绳？,8
2,问：一个皮球65元，一个球拍38元，皮球比球拍多几元？答：皮球比球拍多65 - 38 = 27元。问：一个皮球77元，一个球拍30元，皮球比球拍多几元？,47
2,问：2个茶杯装一盒，19个茶杯可以装满多少盒？答：19除以2 = 9余1，所以可以装满9盒。问：3个茶杯装一盒，19个茶杯可以装满多少盒？,6
2,问：小明和小芳一起做跳绳，小明跳了67下，小芳跳了42下。小芳再跳多少下就和小明跳的一样多？答：小芳再跳67 - 42 = 25下就和小明跳的一样多。问：小明和小芳一起做跳绳，小明跳了88下，小芳跳了42下。小芳再跳多少下就和小明跳的一样多？,46
2,问：有60只灯泡，每盏吊灯需装7只灯泡。这些灯泡可以装多少盏吊灯？答：60除以7 = 8余4。所以这些灯泡可以装8盏吊灯。问：有56只灯泡，每盏吊灯需装7只灯泡。这些灯泡可以装多少盏吊灯？,8
2,问：有32名同学排队，每4名同学站一排，可以站几排？答：32除以4 = 8。所以可以站8排。问：有49名同学排队，每7名同学站一排，可以站几排？,7
2,问：小丽的妈妈买回来两根绳，一根长15米，另一根长21米，截去一些做跳绳，还剩8米，做跳绳用去多少米？答：小丽的妈妈买回来的绳子总长度是15米和21米相加，总共是36米。如果还剩下8米，那么用来做跳绳的绳子长度就是36米减去8米，等于28米。所以，做跳绳用去了28米的绳子。
问：小丽的妈妈买回来两根绳，一根长20米，另一根长22米，截去一些做跳绳，还剩8米，做跳绳用去多少米？,34
2,问：花店运来19朵玫瑰花，每2朵扎成一束，可以扎成多少束？答：19除以2 = 9余1。所以可以扎成9束。问：花店运来21朵玫瑰花，每2朵扎成一束，可以扎成多少束？,10
2,问：一个三角形纸片有3个角，一个四边形纸片有4个角，那么6个三角形纸片和1个四边形共有多少个角？答：6个三角形纸片共有6*3=18个角，1个四边形纸片有4个角，所以总共有18+4=22个角。问：一个三角形纸片有3个角，一个四边形纸片4个角，那么5个三角形纸片和2个四边形共有多少个角？,23
2,问：有25本笔记本，每5本笔记本放在一个盒子里，需要多少个盒子？答：25除以5等于5。所以需要5个盒子。问： 有32本笔记本，每4本笔记本放在一个盒子里，需要多少个盒子？,8
2,问：元旦到了，二（4）班买了42个气球装点教室。如果每7个气球扎成一束，能扎成几束？答：42除以7等于6，所以可以扎成6束。问：元旦到了，二（4）班买了56个气球装点教室。如果每7个气球扎成一束，能扎成几束？,8
2,问：妈妈买了3千克苹果和5千克梨，每千克梨6元，每千克苹果3元，苹果和梨共多少钱？答：苹果的总价是3千克 * 3元/千克 = 9元。梨的总价是5千克 * 6元/千克 = 30元。所以，苹果和梨的总价是9元 + 30元 = 39元。问：妈妈买了5千克苹果和5千克梨，每千克梨10元，每千克苹果3元，苹果和梨共多少钱？,65
2,问：李立用彩纸做花，已经用了45张，还差8张，李立要用多少张彩纸？答：要用45 + 8 = 53张彩纸。问：李立用彩纸做花，已经用了52张，还差9张，李立要用多少张彩纸？,61
2,问：书店有3捆书，每捆2本，每本8元，书店把这两捆书全部卖完，可以卖多少元？答：可以卖3 * 2 * 8 = 48捆。问：书店有5捆书，每捆2本，每本10元，书店把这两捆书全部卖完，可以卖多少元？,100
2,问：小方家有45只鸡，养的鸭比鸡少5只，小方家有鸭多少只？答：小方家有鸭45 - 5 = 40只。问：小方家有45只鸡，养的鸭比鸡少6只，小方家有鸭多少只？,39
2,问：关村要修一条长92米的马路，已经修了54米，还有多少米没修？大：还有92 - 54 = 38米没有修。 问：关村要修一条长88米的马路，已经修了34米，还有多少米没修？,54
2,问：老师买了48根跳绳，平均分给6个班，每个班分几根？答：每个班分48除以6等于8根。问：老师买了64根跳绳，平均分给8个班，每个班分几根？,8
2,问：哥哥把21本书平均分给小里、小洛和小骏，小骏分到多少本？答：21除以2等于10与1。所以小骏分到10本。问：哥哥把35本书平均分给小里、小洛和小骏，小骏分到多少本？,17
2,问：一本笔记本卖4元。欢欢有27元，可以买多少本笔记本？答：27除以4等于6余1。所以可以买6本笔记本。问：一本笔记本卖5元。欢欢有27元，可以买多少本笔记本？,5
2,问：我们小组共有12人，我的左边有7人，我的右边有多少人？答：在你的右边有4人。因为你自己也被计算在内，所以你左边的7人和你自己一共是8人，那么在你的右边就是12人减去8人，等于4人。问：我们小组共有15人，我的左边有8人，我的右边有多少人？,6
2,问：小华有95枚邮票，小明有83枚邮票，小明的邮票比小华多多少枚？答：小明的邮票比小华多95 - 83 = 12枚。问：小华有92枚邮票，小明有80枚邮票，小明的邮票比小华多多少枚？,12
2,问：小兰的妈妈做一套衣服用去3米布，25米布可以做多少套这样的衣服？答：25除以3等于8余1。所以可以做8套衣服。 问：小兰的妈妈做一套衣服用去5米布，26米布可以做多少套这样的衣服？,5
2,问：二年级买来科技书18本，故事书24本。把这些书分给二年级6个班，平均每个班分多少本？答：二年级总共买来了科技书18本和故事书24本，总共是18+24=42本。如果把这些书分给二年级的6个班，那么平均每个班可以分到42÷6=7本。问：二年级买来科技书28本，故事书20本。把这些书分给二年级6个班，平均每个班分多少本？,8
2,问：同学们今天种了25棵树，前天种了12棵树，昨天种了22棵树，昨天和今天一共种了多少棵？答：昨天和今天一共种了22棵+25棵=47棵树。问：同学们今天种了25棵树，前天种了25棵树，昨天种了23棵树，昨天和今天一共种了多少棵？,48
2,问：一个篮球的售价是48元，一个足球的售价是39元，一个足球的售价比一个篮球少多少元？答：足球的售价比篮球少48 - 39 = 9元。 问：一个篮球的售价是58元，一个足球的售价是49元，一个足球的售价比一个篮球少多少元？,9
2,问：杯子里有72颗糖，拿走38颗，杯子里还有多少颗糖？答：还有72 - 38 = 34颗糖。问：杯子里有82颗糖，拿走48颗，杯子里还有多少颗糖？,34
2,问：红、黄、蓝三种气球一样多，一共15个，红气球有多少个？答：红气球有15除以3个。问：红、黄、蓝三种气球一样多，一共18个，红气球有多少个？,6
2,问：小平种了26盒红花，又种了同样多的黄花，两种花共种了多少盒？答：黄花等于26盒。26盒红花 + 26盒黄花 = 52盒。问：小平种了28盒红花，又种了同样多的黄花，两种花共种了多少盒？,56
2,问：7辆小汽车收费多少元？(停车收费标准:小汽车：6元;面包车：8元) 答：7 * 6 = 42元。问：9辆小汽车收费多少元？(停车收费标准:小汽车：6元;面包车：8元),54
2,问：爸爸用50元买了7本笔记本，商店的阿姨找了爸爸1元，那么一本笔记本多少元？答：爸爸实际支付的金额是50元-1元=49元。所以，一本笔记本的价格是49元÷7=7元。问：爸爸用50元买了8本笔记本，商店的阿姨找了爸爸2元，那么一本笔记本多少元？,6
2,问：一个足球要36元，小丽有24元，还差多少元才能购买一个足球？答：还差36 - 24 = 12 元才能买一个足球。问：一个足球要46元，小丽有34元，还差多少元才能购买一个足球？,12
2,问：学校买来74本课外书，平均分给9个班，每个班分多少本？答：74除以9等于8余2。所以每个班分8本。问：学校买来82本课外书，平均分给9个班，每个班分多少本？,9
2,问：小松鼠摘松果，每个筐里放了6个松果，一共放了8筐，小松鼠一共摘了多少个松果？答：一共摘了6 * 8 = 48个松果。问：小松鼠摘松果，每个筐里放了8个松果，一共放了7筐，小松鼠一共摘了多少个松果？,56
2,问：二（2）班筹集班费87元，买一个篮球需要52元，买清洁工具需要46元，还差多少元？答：买篮球和清洁工具总共需要52元+46元=98元。所以，他们还差98元-87元=11元。问：二（2）班筹集班费98元，买一个篮球需要50元，买清洁工具需要40元，还差多少元？,8
2,问：小丽家离学校53米远，一天她上学走了23米，想起忘记带手工纸，立即返回家中，拿了手工纸再上学，这次上学她一共走了多少米？答：小丽一共走了 (23米 * 2) + 53米 = 99米。问：小丽家离学校50米远，一天她上学走了20米，想起忘记带手工纸，立即返回家中，拿了手工纸再上学，这次上学她一共走了多少米？,120
2,问：同学们做了5盒大红花，每盒装9朵，送三好学生32朵，还剩下多少朵？答：总共做了5*9=45朵。然后他们送给三好学生32朵，所以剩下的是45-32=13朵。问：同学们做了6盒大红花，每盒装10朵，送三好学生32朵，还剩下多少朵？,28
2,问：刘老师有5盒乒乓球，每盒装6个，同学们借走了23个，还剩多少个？答：刘老师原来有乒乓球5盒*6个/盒=30个。同学们借走了23个，所以刘老师现在还剩下30个-23个=7个乒乓球。问：刘老师有5盒乒乓球，每盒装6个，同学们借走了20个，还剩多少个？,10
2,问：5头牛1天吃了30筐草，平均每头牛吃几筐草?答：一天中，每头牛平均吃了30筐草除以5头牛，等于6筐草。问：6头牛1天吃了12筐草，平均每头牛吃几筐草?,2
2,问：二年级有男生20人，女生25人，每9人一组参加跳绳比赛，一共可以分成几组？答：总共有二年级的男生20人和女生25人，所以一共有45人。如果每9人一组参加跳绳比赛，那么可以将他们分成45/9=5组。问：二年级有男生25人，女生20人，每10人一组参加跳绳比赛，一共可以分成几组？,4
2,问：一只兔子有4只脚，一只鸡有2只脚，4只兔子和一只鸡一共有多少只脚？答：一只兔子有4只脚，所以4只兔子就有4*4=16只脚。一只鸡有2只脚。所以，4只兔子和一只鸡一共有16+2=18只脚。问：一只兔子有4只脚，一只鸡有2只脚，3只兔子和一只鸡一共有多少只脚？,14
2,问：合唱队有男同学38人，比女同学少15人，合唱队共有多少人？答：合唱队的女同学人数是38人+15人=53人。所以，合唱队总人数是38人+53人=91人。问：合唱队有男同学40人，比女同学少15人，合唱队共有多少人？,95
2,问：露露：我踢了45下。佳佳：我比露露多踢18下。乐乐：我比佳佳多踢21下。乐乐踢了多少下？答：乐乐比露露多踢了21+18=39下。露露踢了45下，所以乐乐踢了45+39=84下。问：露露：我踢了40下。佳佳：我比露露多踢18下。乐乐：我比佳佳多踢22下。乐乐踢了多少下？,80
2,问：9只兔子有多少条腿？答：因为每只兔子有4条腿，所以9只兔子就有9*4=36条腿。问：10只兔子有多少条腿？,40
2,问：一批产品，4人做9天可以完成。照这样计算，这批产品要在6天完成，需要多少人？,6
2,问：李明红剪五角星，第一次剪了13个，第二次和第一次剪的同样多，两次一共剪了多少个？李明红第一次剪了13个五角星，第二次剪的和第一次一样多，也就是13个。所以，两次一共剪了13 + 13 = 26个五角星。问：李明红剪五角星，第一次剪了10个，第二次和第一次剪的同样多，两次一共剪了多少个？,20
2,问：27个小朋友去划船，每条船可以坐3人，需要几条船？,9
2,问：一辆公交车原来有乘客46人，到西门站下车17人，又上车11人，公交车上现在有多少人？答：公交车上现在有40人。原来有46人，下车17人后剩下29人，然后又上车11人，所以总共是29+11=40人。问：一辆公交车原来有乘客50人，到西门站下车12人，又上车12人，公交车上现在有多少人？,50
2,问：某商店新进一批洗衣粉，共有33袋，每7袋装一箱，可以装多少箱？答：33除以7等于4余5，所以可以装4箱。问：某商店新进一批洗衣粉，共有36袋，每7袋装一箱，可以装多少箱？,5
3,问：小猴摘了84个桃子，平均分给6只猴子，每只猴子能吃到几个桃子？86除以6等于14余2，所以每只猴子能吃到14个桃子。问：小猴摘了70个桃子，平均分给6只猴子，每只猴子能吃到几个桃子？,11
3,问：李师傅4天加工40个零件，照这样计算，今年4月份全月一共可加工多少个零件？答：4月份有30天，李师傅4天可以加工40个零件，所以他每天可以加工40/4=10个零件，所以，4月份全月，李师傅可以加工10*30=300个零件。问：李师傅3天加工30个零件，照这样计算，今年4月份全月一共可加工多少个零件？,300
3,问：某班学生48人，其中21人参加数学竞赛，13人参加作文竞赛，而且有7人既参加数学竞赛又参加作文竞赛。那么只参加数学竞赛的有多少人？答：只参加数学竞赛的人数 = 参加数学竞赛的人数 - 既参加数学竞赛又参加作文竞赛的人数 = 21 - 7 = 14人。问：某班学生48人，其中20人参加数学竞赛，13人参加作文竞赛，而且有6人既参加数学竞赛又参加作文竞赛，那么只参加数学竞赛的有多少人？,14
3,问：做一套校服用布3米。66米布最多能做多少套？答：66除以3等于22，所以最多能做22套。问：做一套校服用布2米。22米布最多能做多少套？,11
3,问：同学们收集图片。张明、李红、蔡正明、王丹、熊伟、高伟、梅芳7人收集了名山图片，吴凤、李红、王丹、戴月红、高伟这5人收集了河流图片，吴心怡、张冬、李可这3人收集了奥运图片。收集名山图片和奥运图片的共有多少人？答：收集名山图片的有7人，收集奥运图片的有3人，收集名山图片和奥运图片的总人数是7人+3人=10人。问：同学们收集图片。张明、李红、蔡正明、王丹、熊伟、高伟、梅芳，吴凤8人收集了名山图片，李红、王丹、戴月红、高伟这4人收集了河流图片，吴心怡、张冬、李可这3人收集了奥运图片。收集名山图片和奥运图片的共有多少人？,11
3,问：食堂运来一批蔬菜，原计划每天吃45千克，10天可以消费完这批蔬菜，后来根据大家意见，每天比原计划多吃5千克，这批蔬菜可以吃多少天？答：原计划每天吃45千克，10天就是450千克。然后，如果每天比原计划多吃5千克，那么每天会吃50千克。最后，450千克除以每天50千，得到结果是9天，所以这批蔬菜可以吃9天。问：食堂运来一批蔬菜，原计划每天吃32千克，10天可以消费完这批蔬菜，后来根据大家意见，每天比原计划多吃8千克，这批蔬菜可以吃多少天？,8
3,问：菜店运来6吨大白菜，上午卖出3000千克，下午全部卖完．下午卖出大白菜多少千克？答：6吨大白菜等于6000千克。上午卖出了3000千克，所以下午卖出的大白菜是6000千克 - 3000千克 = 3000千克。问：菜店运来5吨大白菜，上午卖出3000千克，下午全部卖完．下午卖出大白菜多少千克？,2000
3,问：李师傅加工490个零件，前5天共加工了350个零件，照这样计算，这批零件共需要多少天能加工完？答：他每天可以加工350/5=70个零件，剩下490 - 350 = 140 个零件，他需要140/70 = 2天加工完剩下的零件，所以总共需要2 + 5 = 7天。问：李师傅加工490个零件，前5天共加工了350个零件，照这样计算，这批零件共需要多少天能加工完？,7
3,问：“金秋”体育节的检阅方队中，每班36人，某小学有71个班，一共有多少人参加检阅？答：71个班的学生人数是71乘以36，得到2556人，一共有2556人参加检阅。问：“金秋”体育节的检阅方队中，每班30人，某小学有70个班，一共有多少人参加检阅？,2100
3,问：小豪家有个书架共5层，每层放36本书，现在要空出两层放碟片，把这些书放入3层中，每层比原来多放多少本？答：总共有5层 * 36本/层 = 180本书，将180本书放到3层中，每层应该放180本 / 3层 = 60本，所以，每层比原来多放了60本 - 36本 = 24本。问：小豪家有个书架共5层，每层放30本书，现在要空出两层放碟片，把这些书放入3层中，每层比原来多放多少本？,20
3,问：妈妈把一块长1米的布分成三块。第一块长3/6米，第二块长1/6米，剩下的那块长多少米？答：妈妈已经用了3/6米和1/6米的布，总共用了4/6米的布。由于原来的布长1米，所以剩下的布长1米减去4/6米，等于2/6米。所以剩下的那块布长1/3米。问：妈妈把一块长1米的布分成三块。第一块长1/6米，第二块长3/6米，剩下的那块长多少米？,2/6
3,问：停车场上停放着5辆面包车，停放的轿车数量是面包车的4倍。停车场上一共停放着多少辆轿车和面包车？答：轿车的数量是5辆 * 4 = 20辆，因此，停车场上一共停放着5辆面包车 + 20辆轿车 = 25辆车。问：停车场上停放着5辆面包车，停放的轿车数量是面包车的5倍。停车场上一共停放着多少辆轿车和面包车？,30
3,问：某荔枝园有一块长方形的果园，长16米，宽7米。这块荔枝园的面积是多少平方米？答：这块荔枝园的面积可以通过长乘以宽来计算，所以面积是16米乘以7米，等于112平方米。问：某荔枝园有一块长方形的果园，长20米，宽7米。这块荔枝园的面积是多少平方米？,140
3,问：王叔叔和他的爸爸、妈妈去风景区游玩。如果风景区的每张门票售价是108元，王叔叔买所有人的门票一共应付多少钱？答：王叔叔和他的爸爸、妈妈一共是三个人，那么王叔叔买所有人的门票一共应付108元 * 3 = 324元。问：王叔叔和他的爸爸、妈妈去风景区游玩。如果风景区的每张门票售价是100元，王叔叔买所有人的门票一共应付多少钱？,300
3,问：一项工程，8个人工作15小时可以完成，如果12个人工作，那么多少小时可以完成？,10
3,问：阿亮7：35从家步行上学，7：44到达学校。他家到学校的距离是306米。阿亮每分钟走多少米？答：阿亮从家步行到学校花费的时间是7:44 - 7:35，即9分钟。他家到学校的距离是306米。所以，阿亮每分钟走的距离就是306米除以9分钟，结果是34米/分钟。问：阿亮7：30从家步行上学，7：40到达学校。他家到学校的距离是300米。阿亮每分钟走多少米？,30
3,问：希望小学三年级8个班为地震灾区捐书656本，平均每班捐书多少本？答：小学三年级有8个班，总共捐了656本书。所以，平均每班捐书的数量是656本除以8，即82本。问：希望小学三年级8个班为地震灾区捐书480本，平均每班捐书多少本？,60
