grade,question,golden
3,某班学生48人，其中21人参加数学竞赛，13人参加作文竞赛，而且有7人既参加数学竞赛又参加作文竞赛。那么只参加数学竞赛的有多少人？,14
3,做一套校服用布3米。66米布最多能做多少套？,22
3,同学们收集图片。张明、李红、蔡正明、王丹、熊伟、高伟、梅芳7人收集了名山图片，吴凤、李红、王丹、戴月红、高伟这5人收集了河流图片，吴心怡、张冬、李可这3人收集了奥运图片。收集名山图片和奥运图片的共有多少人？,10
3,食堂运来一批蔬菜，原计划每天吃45千克，10天可以消费完这批蔬菜，后来根据大家意见，每天比原计划多吃5千克，这批蔬菜可以吃多少天？,9
3,菜店运来6吨大白菜，上午卖出3000千克，下午全部卖完．下午卖出大白菜多少千克？,3000
3,李师傅加工490个零件，前5天共加工了350个零件，照这样计算，这批零件共需要多少天能加工完？,7
3,“金秋”体育节的检阅方队中，每班36人，某小学有71个班，一共有多少人参加检阅？,2556
3,小豪家有个书架共5层，每层放36本书，现在要空出两层放碟片，把这些书放入3层中，每层比原来多放多少本？,24
3,妈妈把一块长1米的布分成六块。第一块长3/6米，第二块长1/6米，剩下的那块长多少米？,2/6
3,停车场上停放着5辆面包车，停放的轿车数量是面包车的4倍。停车场上一共停放着多少辆轿车和面包车？,25
3,某荔枝园有一块长方形的果园，长16米，宽7米。这块荔枝园的面积是多少平方米？,112
3,王叔叔和他的爸爸、妈妈去风景区游玩。如果风景区的每张门票售价是108元，王叔叔买所有人的门票一共应付多少钱？,324
3,一项工程，8个人工作15小时可以完成，如果12个人工作，那么多少小时可以完成？,10
3,阿亮7：35从家步行上学，7：44到达学校。他家到学校的距离是306米。阿亮每分钟走多少米？,34
3,希望小学三年级8个班为地震灾区捐书656本，平均每班捐书多少本？,82
3,李春从学校放学回家走了20分钟，他平均每分钟走110米，李春家离学校有多远？,2200
3,某小区的绿化带3/9的地种了柏树，剩下的种松树，种松树的地占整个绿化带的几分之几？,6/9
3,一个没关紧的水龙头，一星期能流失约670千克的水。平均每天大约流失多少千克的水？,96
3,王老师在教师节收到138朵花，如果每3朵扎成一束，可以扎几束？,46
3,刘阳今年6岁，妈妈的年龄是刘阳年龄的5倍，奶奶的年龄又是妈妈年龄的2倍，奶奶今年多少岁？,60
3,小华带了20元钱去文具店买学习用品，买一支钢笔用去总钱数的1/2，买一本笔记本用去总钱数的1/5，一支钢笔比一只笔记本贵多少钱？,6
3,一套明信片14张，每张售价5元，今天一共卖出52套，一共收入多少元？,3640
3,为了美化校园环境，学校买了160盆菊花，分别摆在校门口两侧，平均每侧放多少盆？,80
3,兴兴玩具厂生产了408个布娃娃，如果每3个布娃娃装一箱，一共可以装多少箱？,136
3,王老师买了一根长绳，现在要把这根长绳剪成几根同样长的短绳。王老师把长绳连续对折三次，然后沿折痕剪开，每根短绳占这根长绳的几分之几,1/8
3,货车平均每小时行87千米，从甲城到乙城行了16小时，甲、乙两城相距多少千米？,1392
3,电影院共有1400个座位。东风小学共有31个班，平均每班有43人，请问这个学校的所有学生都坐下后还剩多少座位？,67
3,某工地的一项工程，原计划由30人工作，每天工作8小时，50天完工，为了提前完工，实际由40人工作，每天工作10小时，可以提前几天完工？,20
3,民兵军训，4小时走16千米，为了达到目的地，每小时多走1千米，剩下的20千米要几小时？,4
3,商店新进560千克苹果，如果5天卖完，平均每天卖多少千克？,112
3,李明家去年养鸭600只，今年比去年多248只，今年养了多少只鸭？,848
3,某剧场楼上有16排座位，每排可以坐42人，平均每个座位票价5元，若座位全部坐满，这个剧院可以收入多少元？,3360
3,一块边长为2米的正方形花布，它的面积是多少平方米？,4
3,新华书店购进故事书860本，文艺书410本，购进的故事书比文艺书多多少本?,450
3,在一块边长8米的正方形水池外围上一条宽1米的小路，求小路的面积。,36
3,学校食堂运进1240千克食用油，用了8天，还剩40千克，平均每天用多少千克食用油？,150
3,丽丽从一楼走到三楼用了18秒，照这样计算，他从一楼到七楼需要多长时间？,54
3,小强写一篇作文一共写了608个字，正好4面，每面有8行。平均每面写多少个字？,152
3,用篱笆围成一个长方形的养鸡场，一边利用18米长的墙壁，篱笆共长40米，求养鸡场的面积。,198
3,有6个小组，每组4人，共摘了216千克苹果，平均每人摘了多少个苹果？,9
3,一根绳子长25米，剪10米做一根长跳绳，剩下的每2米做一根短跳绳，可以做多少根短跳绳？,7
3,冷饮公司每天生产960支奶油冰淇淋。每盒装6支，可以装几盒？,160
3,5个工人10天修了500米，若速度不变，20人要修4000米，需要多少天？,20
3,学校新买来780本图书，分给6个年级的学生，平均每个年级可以分到多少本？,130
3,超市里一个书包32元，买21个这样的书包需要多少元？,672
3,在一块长30米，宽15米得长方形地理栽白薯，平均15平方分米栽一棵，平均每棵收白薯2.5千克，这块地共收白薯多少千克？,7500
3,为了绿化校园，学校买来了60盒鲜花，这些鲜花如果摆6排，每排可以摆多少盒？,10
3,明明跑了450米，爷爷跑的米数相当于明明跑的2倍，爸爸跑的比明明和爷爷跑的总数还多850米。爸爸跑了多少米？,2200
4,用面包机烤面包时，第一面烤2分钟，第二面只要烤1分钟，即烤一片面包需要3分钟，小勤的面包机一次只能放2片，他每天早上吃3片面包，至少需要烤多少分钟？,5
4,一个数的千位上是2，个位上是3，十位和十分位上都是1，百位和百分位上都是8，这个数是多少？,2813.18
4,一件上衣156元，一条裤子144元，一件上衣和一条裤子一共多少元？,300
4,水果店购回香梨和苹果各36箱，香梨每箱45元，苹果每箱55元。香梨和苹果一共花了多少元？,3600
4,钱红和顾颖用计算机同时合打一份1820个字的材料。钱红每分钟打字120个，顾颖每分钟打字140个。她俩打完这份材料，需用多少分钟？,7
4,张村挖一条长1200米的水渠，计划15天挖完。实际每天比计划多挖20米，实际用了多少天？,12
4,煤场上午运来煤1.5吨，下午又运来了一些，一天共运来煤4.36吨，下午运来多少吨？,2.86
4,某花店里菊花有300朵，是百合花的12倍，百合花有多少朵？,25
4,运输队运水泥，一辆大车每次运90包，一辆小车每次运35包，大车和小车各运16次，一共运水泥多少包？,2000
4,水果店运来26箱橙子，每箱36千克，运来的苹果比橙子多278千克，水果店运来橙子和苹果共多少千克？,2150
4,一辆汽车从甲地开往乙地，每小时行驶76千米，行驶了7个小时，甲、乙两地的距离是多少千米？,532
4,把2.01扩大到原数的100倍是多少？,201
4,莉莉有129张邮票，明明有71张邮票，每张邮票售价2元，莉莉和明明可以卖多少元？,400
4,汽车上山的速度为每小时36千米，行了5小时到达山顶，下山时按原路返回只用了4小时。汽车下山时平均每小时行多少千米？,45
4,某工厂去年生产农具3657件，今年比去年多生产679件，今年生产了多少件农具？,4336
4,可可在家里烙饼，锅里每次可烙两张饼，两面都要烙，每面要烙2分钟，烙7张饼要用几分钟？,14
4,1吨海水含盐20千克，100千克这样的海水含盐多少吨？,0.002
4,妈妈到超市买苹果用去21.76元，买梨用去19.39元，一共用去多少元？,41.15
4,春节前，工厂后勤工作人员带1000元买桔树，买了13盆桔树，还剩155元，平均每盆桔树的价格是多少元？,65
4,春节快到了，小明准备送给几个好朋友祝福贺卡，他了解到每张贺卡2元，于是他带着买15张贺卡的钱来到商店，发现他想买的这种贺卡每张涨了1元．请帮小明算一算，他所带的钱现在可以买多少张贺卡？,10
4,一瓶橙汁是4元钱，一箱24瓶，王叔叔这个月卖了25箱，一共卖了多少元钱？,2400
4,修路工人要修一条850米长的公路，已经修了19天，还有185米没修，平均每天修了多少米？,35
4,学校买足球用去96.8，买排球用去56.6，买篮球用去103.2元。学校买足球、排球和篮球共用了多少元？,256.6
4,由4个一、4个十分之一、4个千分之一组成的数是多少？,4.404
4,王老师带了386元钱，买足球用去了130元，剩下的钱又买了8个篮球，平均每个篮球多少元？,32
4,张兰在读一个小数时，把小数点丢了，结果读成了一万四千零二。如果原来的小数要读出两个零。那么原来的小数是多少？,14.002
4,学校举行团体操表演，每行25位学生，一共有36行，参加团体操表演的学生一共有多少位？,900
4,水果店运来24箱水果，每箱25千克，这些水果一共多少千克？,600
4,小华的四次跳远成绩分别为141厘米、160厘米、161厘米、162厘米。请你帮小华算出她跳远的平均成绩是多少厘米。,156
4,一块长方形地的面积是0.8公顷，它的宽是100米．那么它的长是多少米？,80
4,学校买来练习本3640本，分给三年级256本，分给四年级378本，分给五年级444本，分给六年级322本。这四个年级一共分得多少本练习本？,1400
4,甲在乙的后面28千米，两人同时相向而行，甲每小时行16千米，乙每小时行9千米，问甲几小时追上乙？,4
4,王老师买香蕉用了10.75元，买橘子用了9.7元，他付给售货员25元，应找回多少元？,4.55
4,新华书店运到2车图书，每辆车装125包，每包有80本。新华书店运到图书多少本？,20000
4,102，103，105，101，109，102，106，104这8个数的平均数是？,104
4,每箱可口可乐有18瓶，每瓶3元，爸爸拿80元钱买了一箱，还剩下多少元？,26
4,把21.06扩大到原数的1000倍是多少？,21060
4,10千克花生可榨油4.3千克，1千克花生可榨油多少千克？,0.43
4,果园里种梨树18行，每行35棵。苹果树25行，每行32棵。果园里共有果树多少棵？,1430
4,小明和小芳同院，小芳上学每分走50米，12分到学校，小明上学每分比小芳多走10米，小明几分到学校？,10
4,张明看一本572页的故事书，如果他每天看22页，需要多少天才能看完？,26
4,修一段长960米的公路，修了6天完成了全长的一半，余下的平均每天修80米，修完这段公路一共需要多少天？,12
4,海沧野生动物园的狮子一天要吃37千克的食物，十月份一个月要吃多少千克食物？,1147
4,小明在计算除法时，错将除数36看成63，结果得到商24。请你帮他算一算，正确的商应该是多少？,42
4,一台磨面机每小时磨面800千克，照这样计算，7台磨面机每小时能磨面粉多少千克？,5600
4,同学们进行跳绳比赛，规定每人跳3分钟。小红平均比小米多跳8个，小明共跳了321个。求小红一共跳了多少个？,345
4,一束鲜花30元，买5束送一束。王阿姨一次买5束，每束便宜多少元？,5
4,学校要进行作业展览，一共要展示270件作品，每块展板最多放25件，需要多少块展板？,11
4,四年级同学们采集松树种子，（1）班采集了31.56千克，（2）班采集了33.45千克，（3）班采集了30.2千克。三个班一共采集了多少千克？,95.21
4,用一个平底锅煎饼，每次最多能同时放2张饼，如果煎一张饼需要2分钟（假定正、反面各需1分钟）．煎3张饼至少需要几分钟？,3
5,一组学生植树，每人栽6棵还剩4棵；如果其中3人各栽5棵，其余每人各栽7棵，正好栽完。这一组学生有多少人？,10
5,一个底面是正方形的长方体纸盒，它的侧面展开图是一个边长是21厘米的正方形。这个纸盒的表面积是多少平方厘米,2646
5,故宫的面积是72万平方米，比天安门广场面积的2倍少16万平方米．天安门广场的面积多少万平方米？,44
5,一根竹竿插入水中，入水部分长5/14米，入泥部分1/14米，露出水面3/14米。这根竹竿长多少米？,9/14
5,循环使用一本教科书，一年可以节约纸张2/5千克，如果一年循环使用3本教科书，可以节约纸张多少千克？,6/5
5,在20米花坛的一侧，每隔4米栽一棵树苗（只栽一端）。一共需要多少棵树苗？,5
5,某校长方形操场面积2800平方米，因扩建，要把宽从40米增加到50米，长不变．扩建后的操场面积比原来增加多少平方米？,700
5,一个长方体的底面是周长16厘米的正方形，高3厘米，这个长方体的体积是多少立方厘米？,48
5,"红领巾公园内一条林荫大道全长800米,在它的一侧从头到尾等距离地放着41个垃圾桶,每两个垃圾桶之间相距多少米？",20
5,五年级同学到森林公园去春游，准备乘16人的面包车或乘24人的中巴客车，不论是专乘16人的面包车，还是专乘24人的中巴车，都正好坐满。五年级至少有多少同学去春游？,48
5,把5克盐放入355克水中，盐的质量占盐水的几分之几？,1/72
5,一根长方体木料，体积是0.078立方分米，已知木料的长是2厘米，宽是3厘米，这根木料高是多少厘米？,13
5,有11个外形完全相同的羽毛球，其中10个是正品，一个是次品，且次品稍轻一些。如果用天平称，至少称几次就一定能把这个次品找出来？,3
5,把一根绳子对折，又对折，再对折，其中的3小段占这根绳子全长的几分之几？,3/8
5,一个底面是正方形的长方体纸盒，将它的侧面展开正好是一个边长是6厘米的正方形，做这个纸盒至少需要纸板多少平方米？,216
5,在学校组织的“有奖读书活动”中，笑笑获得了一等奖，奖品是一本科普书，共80页，她每天看10页，那么她每天看这本书的几分之几？,1/8
5,航模小组女生有4人，男生有5人，男生占小组人数的几分之几？,5/9
5,"一个圆形水池周围每隔2米栽一棵杨树,共栽了40棵,水池的周长是多少米?",80
5,一座楼房每上1层要走16级台阶，到小英家要走64级台阶，小英家住在几楼？,5
5,一个箱子里有20本书，其中19本质量相同，另有1本质量不足，轻一些。用天平至少称几次能保证找出这本书来？,3
5,鸡兔同笼，鸡和兔的只数相同，两种动物的腿加起来共有42条，鸡和兔的数量是多少？,7
5,爷爷的果园种着桃树和梨树，明明数了数，发觉一共有36棵，他还发现桃树的棵数是梨树的2倍．爷爷的果园里种着梨树多少棵？,12
5,小熊、小羊和小鹿共同修建了一个小水池。小羊每2天到池边喝一次水，小鹿每3天到池边喝一次水，小熊每4天到池边喝一次水。7月1日的这一天，它们三个又同时来到池边喝水，并约定月底的某一天早上8:00准时到池边喝水。你知道这一天是7月几日吗？,24
5,"在一条公路上两侧每隔16米架设一根电线杆,共用电线杆52根,这条公路全长多少米？",400
5,工程队修一条公路，原计划每天修路1.65千米，20天可以完成。实际只用了15天，实际平均每天修路多少千米？,2.2
5,城东小学的同学们做早操，21个同学排成一排，每相邻的两个同学之间的距离相等，第一个人到最后一个人的距离是40米，相邻两个人间距多少米？,2
5,"两座楼房之间相距56米,每隔4米栽雪松一棵,一行能栽多少棵?",13
5,某年级同学春游时租船游湖，若每只船乘10人，还多2个座位；若每只船多坐2人，可少租一条船，这时每人可节省5角钱。租一只船需要多少钱？,24
5,有一根木料，打算把每根锯成3段，每锯开一处，需要5分钟，全部锯完需要多少分钟?,10
5,3年前晶晶和爸爸的年龄和是45，爸爸比晶晶大35岁，今年爸爸多大？,43
5,20以内最大的质数与最小的质数的2倍的和是多少？,23
5,一个表面积为36平方分米的正方体，沿一个面切成4个长方体后，表面积增加了多少平方分米？,36
5,学校举行书画竞赛，四、五年级共有75人获奖，其中五年级获奖人数是四年级的1.5倍，五年级各有多少同学获奖？,45
5,五（3）班有男生25人，女生20人，女生人数是男生人数的几分之几？(用最简分数表示),4/5
5,一个长方体，底面是个正方形，它的高是7厘米，所有的棱长之和是100厘米，这个长方体的体积是多少立方分米？,0.567
5,长方形的砖长48厘米，宽32厘米，用这样的砖铺成一块正方形的地面，至少需要砖多少块？,6
5,战斗机的飞行速度是4000千米/时，比超音速飞机速度的3倍还多700千米，超音速飞机每小时飞行多少千米？,1100
5,跳远比赛使用的沙坑长7米，宽3米，坑内沙子的厚度为0.8米，沙坑里有沙子多少立方米？,16.8
5,一条公路21天修完，平均每天完成这条公路的几分之几？,1/21
5,食堂运来一些煤，第一天烧了5/8吨，第二天烧了1/4吨，两天一共烧了多少吨？,7/8
5,光每秒能传播30万千米，这个距离大约比地球赤道长度的7倍还多2万千米。地球赤道大约长多少万千米？,4
5,一个长方体玻璃容器内存水5.5升，放入一个苹果后，水位上升至6升，这个苹果的体积是多少立方分米？,0.5
5,同学们去买作文书，如果每人出8元，就多出了8元；每人出7元，就多出了4元．那么有多少个同学去买书？,4
5,王师傅加工一批零件，每天加工20个，可以提前1天完成。工作4天后，由于改进了技术，每天可多加工5个，结果提前3天完成。问：这批零件有多少个？,280
5,张老师从网上下载了一些图片，一共占硬盘空间12MB，现在他准备用软盘把这些图片拷贝到学校的电脑里，每张软盘的空间是1.44MB，那么这些图片至少需要多少张这样的软盘？,9
5,一个长方形的周长是4.8米，长是宽的3倍．这个长方形的宽是多少米？,0.6
5,用100千克油菜籽可以炸出41千克菜籽油。1千克油菜籽可以炸出多少千克菜籽油？,41/100
5,三个工程队合修一条公路，甲队修了全长的2/9，乙队修了全长的4/27，剩下的由丙队修。丙队修了全长的几分之几？,17/27
5,一根3米长的方木，截成3断后，表面积增加了3.6平方米，这根方木的体积是多少立方米？,0.027
5,"在一条长50米的跑道两旁,从头到尾每隔5米插一面彩旗,一共插多少面彩旗?",22
6,某小学在“献爱心--为汶川地震区捐款”活动中，六年级五个班共捐款8000元，其中一班捐款1500元，二班比一班多捐款200元，三班捐款1600元，四班与五班捐款数之比是3：5．四班捐款多少元？,1200
6,小俊在东西大道上跑步，若规定向东为正。他先向东跑了800米，然后又跑了一段之后，他位于出发点西边100米处，小俊第二段跑了多少米？,900
6,A车和B车同时从甲、乙两地相向开出，经过5小时相遇．然后，它们又各自按原速原方向继续行驶3小时，这时A车离乙地还有135千米，B车离甲地还有165千米．甲、乙两地相距多少千米？,775
6,东西两个仓库共存粮480吨，东库存粮数是西库存粮数的1.4倍，求东库存粮多少吨？,280
6,水果店运来苹果和梨共840千克，苹果的质量是梨的3倍，苹果重多少千克？,630
6,一个足球场长120m，宽90m，把它画在一张纸上，长画了16cm，宽应该画多少厘米？,12
6,在一个底面半径为10厘米的圆柱形容器内，倒入10厘米深的水，然后将一个底面直径4厘米，高6厘米的圆锥形铅锤放入水中，容器中水面上升多少厘米？,0.08
6,商店运来桔子、苹果、梨共360千克，桔子与苹果的重量比是5：6，梨的重量是苹果的1/6，桔子有多少千克？,150
6,A、B两个数的和是616，A的个位上是0，若把0去掉，就与B相同，那么A是多少？,560
6,在学校的数学竞赛活动中，一共有126人获奖．其中获得一、二、三等奖的人数比是1：2：3．获得一等奖的有多少人？,21
6,一份稿件，甲单独打字需6小时完成，乙单独打字需10小时完成，现在甲单独打若干小时后，因有事由乙接着打完，共用了7小时，那么甲打字用了多少小时？,9/2
6,在一个比例中，两个外项互为倒数，其中一个内项是5/13，另一个内项是多少?,13/5
6,某汽车制造厂上半年生产小汽车36400辆，比原计划多生产3900辆，超产百分之几？,12%
6,蕉坝中心完小六年级三个班共植树120棵，已知六（1）、（2）、（3）班植树的棵树比为1：3：2，那（1）班植树多少棵？,20
6,有一只羊栓在草地的木桩上，绳子的长度是6米，这只羊最多可以吃到多少平方米的草？,113.04
6,甲乙两人分别从A、B两地同时相向而行，甲每分钟行100米，乙每分钟行120米，12.5分钟后两人已相遇，彼此相距150米．A、B两地相距多少米？,2600
6,某皮鞋店调进女皮鞋225双，其中男装皮鞋的双数相当于女装皮鞋的40%，这个皮鞋店调进男装皮鞋多少双？,90
6,爸爸买了5000元国债，定期两年，到期时可取回本金和利息共5873元，这种国债的年利率是多少？,0.0873
6,"人体中的血液约占体重的1/13,血液里约2/3是水.小东的体重是39千克,他的血液里大约含水多少千克?",2
6,儿童公园有一个直径是15米的圆形金鱼池，在金鱼池周围要做4圈圆形栏杆，至少要用多少钢条？,188.4
6,某工厂有一堆煤，如果每天烧0.8吨，可以烧30天。如果每天节约0.2吨，可以多烧多少天？,10
6,我校在“创建绿色循环经济示范单位”活动中，打算在生物园新挖一个直径是6米，深12分米的圆形水池。这个水池的占地面积是多少平方米？,28.26
6,某会议室需要粉刷的面积是500平方米，每平方米需要涂料0.6千克，但实际粉刷时会有损耗，因此要多准备10%。实际应准备多少千克涂料？,330
6,有黑色、白色、黄色的小棒各8根，混放在一起，从这些小棒之中至少要取出才能保证有4根颜色相同的小棒子？,10
6,贝贝、晶晶、欢欢、迎迎、妮妮五种福娃共10个，至少买多少个福娃才可以保证一定有两个一样的福娃？,6
6,“五一”期间，小熊商场所有商品“九五折”出售。空调原价2800元，“五一”期间，空调价格比原来便宜多少元？,140
6,商店以68元一件的价格购进一批衣服，售价为每件96元。一月份共售出115件，除去各种开支874元。那么这家商店还可以赚多少元？,2346
6,甲乙丙三数之和是170，乙比甲的2倍少4，丙比甲的3倍多6，求乙是多少？,52
6,育才小学有教师108人，其中女教师人数是男教师的3倍．男教师有多少人？,27
